PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
000419 CS Equity,000419,Shenzhen,CNY,BBG000P65TM5,6187811,CNE000000LL0,,5.020000,1797444.000000,2728.784928,11,1120,112013,,Common Stock,,,
000420 CS Equity,000420,Shenzhen,CNY,BBG000P6CG09,6454043,CNE0000008F4,,2.430000,6650461.000000,4788.817174,17,1710,171011,17101112,Common Stock,,,
000421 CS Equity,000421,Shenzhen,CNY,BBG000P6F1Y2,6628514,CNE0000003L3,,4.810000,1903225.000000,2754.431753,19,1910,191012,19101211,Common Stock,,,
000422 CS Equity,000422,Shenzhen,CNY,BBG000P69R27,6446954,CNE0000009C9,,2.450000,8921487.000000,2199.773444,17,1710,171010,17101012,Common Stock,,,
000423 CS Equity,000423,Shenzhen,CNY,BBG000P6FPJ6,6276719,CNE0000006Y9,,53.340000,2938005.000000,34885.508784,15,1510,151012,,Common Stock,,,
000425 CS Equity,000425,Shenzhen,CNY,BBG000P6MF28,6984249,CNE000000FH0,,4.210000,72051710.000000,29502.533428,16,1612,161211,16121110,Common Stock,,,
000426 CS Equity,000426,Shenzhen,CNY,BBG000P65LL3,6204260,CNE000000D24,,7.210000,0.000000,13538.213806,17,1715,171510,17151015,Common Stock,,,
000428 CS Equity,000428,Shenzhen,CNY,BBG000P69SB5,6670021,CNE000000LM8,,2.930000,1986549.000000,2985.453180,11,1116,111612,11161210,Common Stock,,,
000429 CS Equity,000429,Shenzhen,CNY,BBG000P67VP5,6398798,CNE0000006Z6,,7.530000,4029642.000000,13117.682629,16,1615,161512,16151211,Common Stock,,,
000430 CS Equity,000430,Shenzhen,CNY,BBG000P6MJ11,6991238,CNE000000F22,,6.780000,963957.600000,2744.663911,11,1118,111811,11181112,Common Stock,,,
000488 CS Equity,000488,Shenzhen,CNY,BBG000D3ZF33,6294960,CNE0000015H5,,12.760000,17328640.000000,14206.022611,17,1713,171311,,Common Stock,,,
000498 CS Equity,000498,Shenzhen,CNY,BBG000D3MPP1,6011697,CNE0000009D7,,4.930000,6567129.000000,5522.285581,16,1615,161512,,Common Stock,,,
000501 CS Equity,000501,Shenzhen,CNY,BBG000BZGG42,6984120,CNE000000024,,11.850000,3984382.000000,9112.563862,11,1120,112013,,Common Stock,,,
000502 CS Equity,000502,Shenzhen,CNY,BBG000BZBTW8,6803117,CNE000000214,,6.970000,1099169.000000,1288.192661,14,1415,141510,,Common Stock,,,
000503 CS Equity,000503,Shenzhen,CNY,BBG000BZDZM3,6803106,CNE000000255,,30.280000,9185459.000000,27216.336337,15,1511,151111,,Common Stock,,,
000504 CS Equity,000504,Shenzhen,CNY,BBG000BZ95Y1,6425191,CNE000000263,,20.610000,858791.300000,6421.538100,16,1616,161610,16161011,Common Stock,,,
000505 CS Equity,000505,Shenzhen,CNY,BBG000BZC2P4,6402376,CNE0000002X0,,6.680000,3895874.000000,4147.046632,14,1415,141510,,Common Stock,,,
000506 CS Equity,000506,Shenzhen,CNY,BBG000BZG537,6807379,CNE0000004D8,,3.320000,37142850.000000,3084.338967,14,1415,141512,14151214,Common Stock,,,
000507 CS Equity,000507,Shenzhen,CNY,BBG000BZBBC9,6994044,CNE000000149,,8.550000,17558130.000000,6750.574857,16,1617,161715,,Common Stock,,,
000509 CS Equity,000509,Shenzhen,CNY,BBG000BZG0L8,6782205,CNE0000001G7,,2.720000,7803133.000000,2245.314078,17,1711,171112,17111215,Common Stock,,,
000510 CS Equity,000510,Shenzhen,CNY,BBG000BZFZ23,6780351,CNE000000172,,5.240000,17263180.000000,3192.115011,17,1710,171011,17101112,Common Stock,,,
000513 CS Equity,000513,Shenzhen,CNY,BBG000BZGSF4,6997139,CNE0000002Y8,,47.020000,5778179.000000,22240.499591,15,1510,151012,,Common Stock,,,
000514 CS Equity,000514,Shenzhen,CNY,BBG000BZB2Y5,6187963,CNE0000004R8,,4.460000,3675364.000000,3763.218504,14,1415,141510,,Common Stock,,,
000516 CS Equity,000516,Shenzhen,CNY,BBG000BZGJF4,6983934,CNE000000016,,5.190000,14863820.000000,10229.745877,11,1120,112013,11201310,Common Stock,,,
000517 CS Equity,000517,Shenzhen,CNY,BBG000BZCWL2,6620866,CNE0000000R6,,3.080000,11776010.000000,9806.481254,14,1415,141510,,Common Stock,,,
000518 CS Equity,000518,Shenzhen,CNY,BBG000BZCF39,6502759,CNE0000001P8,,4.160000,3098721.000000,4282.953884,15,1510,151013,,Common Stock,,,
000519 CS Equity,000519,Shenzhen,CNY,BBG000BZ9PK2,6193261,CNE000000198,,9.030000,20255990.000000,12673.258645,16,1610,161011,,Common Stock,,,
000520 CS Equity,000520,Shenzhen,CNY,BBG000BZG8Y7,6932248,CNE0000003M1,,3.080000,4709280.000000,3117.217041,16,1617,161712,16171213,Common Stock,,,
000521 CS Equity,000521,Shenzhen,CNY,BBG000BZC6C9,6427034,CNE000000BT4,,3.860000,3668349.000000,3403.492781,11,1112,111211,11121112,Common Stock,,,
000523 CS Equity,000523,Shenzhen,CNY,BBG000BZCQ71,6389554,CNE0000005T1,,6.120000,5170079.000000,3200.418939,12,1210,121014,,Common Stock,,,
000524 CS Equity,000524,Shenzhen,CNY,BBG000BZBSN0,6389394,CNE000000651,,8.660000,959144.000000,5804.006450,11,1116,111612,11161210,Common Stock,,,
000525 CS Equity,000525,Shenzhen,CNY,BBG000BZCVT6,6606424,CNE0000002Z5,,16.960000,2414028.000000,9849.907926,17,1710,171010,17101011,Common Stock,,,
000526 CS Equity,000526,Shenzhen,CNY,BBG000BZGHH6,6983945,CNE0000005F0,,28.180000,0.000000,2710.778115,11,1115,111511,,Common Stock,,,
000528 CS Equity,000528,Shenzhen,CNY,BBG000BZBLX4,6389316,CNE000000DB8,,11.490000,41233900.000000,12929.032143,16,1612,161211,16121110,Common Stock,,,
000529 CS Equity,000529,Shenzhen,CNY,BBG000BZBK75,6389231,CNE0000002B6,,5.530000,1904240.000000,3228.360525,12,1211,121111,,Common Stock,,,
