PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
600131 CG Equity,600131,Shanghai,CNY,BBG000C1WZ73,6107853,CNE000000VJ3,,7.430000,3467921.000000,3745.649902,19,1910,191011,19101112,Common Stock,,,
600132 CG Equity,600132,Shanghai,CNY,BBG000BW6HQ4,6080794,CNE000000TL3,,30.740000,2948133.000000,14877.274627,12,1210,121012,12101210,Common Stock,,,
600133 CG Equity,600133,Shanghai,CNY,BBG000BN7NQ0,6104166,CNE000000V71,,6.090000,9894944.000000,4419.997283,11,1112,111210,,Common Stock,,,
600135 CG Equity,600135,Shanghai,CNY,BBG000BYJNF5,6097523,CNE000000V63,,7.460000,4799857.000000,2782.518343,18,1810,181011,18101111,Common Stock,,,
600136 CG Equity,600136,Shanghai,CNY,BBG000BH1B58,6104791,CNE000000VC8,,13.050000,6190231.000000,6357.727527,10,1010,101012,10101210,Common Stock,,,
600137 CG Equity,600137,Shanghai,CNY,BBG000C24L00,6112147,CNE000000VX4,,14.720000,1202251.000000,1431.042895,11,1110,111010,11101010,Common Stock,,,
600138 CG Equity,600138,Shanghai,CNY,BBG000BX6SW1,6088055,CNE000000V14,,18.920000,8424188.000000,13695.052800,11,1118,111811,11181112,Common Stock,,,
600139 CG Equity,600139,Shanghai,CNY,BBG000C1HQ25,6106032,CNE000000VD6,,4.440000,9965762.000000,2938.793856,17,1715,171510,,Common Stock,,,
600141 CG Equity,600141,Shanghai,CNY,BBG000BXK4Y6,6156048,CNE000000ZC9,,13.110000,9723558.000000,9533.340655,17,1710,171011,,Common Stock,,,
600143 CG Equity,600143,Shanghai,CNY,BBG000GM3GJ4,B01KBB6,CNE000001JP3,,5.130000,6339316.000000,13937.105952,17,1710,171012,17101211,Common Stock,,,
600145 CG Equity,600145,Shanghai,CNY,BBG000C2BZN6,6169477,CNE0000010F0,,,,,11,1112,111211,11121111,Common Stock,,,
600146 CG Equity,600146,Shanghai,CNY,BBG000BLLBP5,6162056,CNE000000ZL0,,22.220000,0.000000,10442.733400,11,1119,111910,11191010,Common Stock,,,
600148 CG Equity,600148,Shanghai,CNY,BBG000BD7901,6112073,CNE000000VY2,,19.720000,2023915.000000,2790.704394,11,1111,111111,11111127,Common Stock,,,
600149 CG Equity,600149,Shanghai,CNY,BBG000BV0F13,6169778,CNE0000010G8,,5.560000,2268551.000000,2113.689600,16,1615,161510,16151010,Common Stock,,,
600150 CG Equity,600150,Shanghai,CNY,BBG000BDT8J9,6112910,CNE000000W05,,10.900000,9309164.000000,15021.481818,16,1614,161412,16141210,Common Stock,,,
600151 CG Equity,600151,Shanghai,CNY,BBG000C35L25,6119267,CNE000000W96,,4.180000,10790080.000000,5995.174560,13,1311,131111,13111110,Common Stock,,,
600152 CG Equity,600152,Shanghai,CNY,BBG000BB31T5,6117119,CNE000000WK9,,5.580000,6316302.000000,2540.912968,11,1110,111011,11101112,Common Stock,,,
600153 CG Equity,600153,Shanghai,CNY,BBG000BFS226,6116956,CNE000000WL7,,8.770000,12872970.000000,24864.708648,16,1617,161715,,Common Stock,,,
600155 CG Equity,600155,Shanghai,CNY,BBG000C1P1W8,6121659,CNE000000X53,,7.230000,7522497.000000,12576.994565,17,1710,171011,17101112,Common Stock,,,
600156 CG Equity,600156,Shanghai,CNY,BBG000BG0475,6113593,CNE000000W39,,4.220000,10476330.000000,1696.907162,11,1110,111011,,Common Stock,,,
600157 CG Equity,600157,Shanghai,CNY,BBG000BB5S14,6116008,CNE000000WD4,,1.670000,37827130.000000,20751.078194,13,1310,131016,13101610,Common Stock,,,
600158 CG Equity,600158,Shanghai,CNY,BBG000BDJ0K5,6105493,CNE000000VF1,,11.400000,10249860.000000,9618.583252,14,1415,141510,,Common Stock,,,
600159 CG Equity,600159,Shanghai,CNY,BBG000BRLMR6,6112909,CNE000000W21,,2.750000,2026333.000000,2282.508888,14,1415,141510,14151014,Common Stock,,,
600160 CG Equity,600160,Shanghai,CNY,BBG000BRLJL9,6118383,CNE000000WQ6,,7.940000,25758640.000000,21796.618858,17,1710,171011,17101110,Common Stock,,,
600161 CG Equity,600161,Shanghai,CNY,BBG000BDWBH0,6116666,CNE000000WF9,,20.290000,4651328.000000,17675.410432,15,1510,151012,,Common Stock,,,
600162 CG Equity,600162,Shanghai,CNY,BBG000C38PC2,6116042,CNE000000WG7,,2.440000,4930279.000000,8294.358915,14,1415,141510,14151014,Common Stock,,,
600163 CG Equity,600163,Shanghai,CNY,BBG000C31DJ9,6114905,CNE000000W62,,3.440000,1514879.000000,3438.160391,19,1910,191011,19101112,Common Stock,,,
600165 CG Equity,600165,Shanghai,CNY,BBG000BW3KX2,6113601,CNE000000W47,,5.500000,37089800.000000,3766.860762,17,1714,171412,17141211,Common Stock,,,
600166 CG Equity,600166,Shanghai,CNY,BBG000C31F68,6115522,CNE000000WC6,,2.000000,28573310.000000,13340.262580,16,1614,161410,16141010,Common Stock,,,
600167 CG Equity,600167,Shanghai,CNY,BBG000BPG245,6140308,CNE000000Y94,,10.570000,2236261.000000,18604.171425,16,1615,161510,16151012,Common Stock,,,
600168 CG Equity,600168,Shanghai,CNY,BBG000C2KPM9,6110226,CNE000000VR6,,6.590000,1856703.000000,4676.064270,19,1910,191012,19101212,Common Stock,,,
600169 CG Equity,600169,Shanghai,CNY,BBG000C7HQD0,6121046,CNE000000X12,,2.530000,8997720.000000,6486.806150,16,1612,161211,16121110,Common Stock,,,
600170 CG Equity,600170,Shanghai,CNY,BBG000C3NBT8,6117874,CNE000000WR4,,3.220000,17545460.000000,28672.160684,16,1615,161513,,Common Stock,,,
600171 CG Equity,600171,Shanghai,CNY,BBG000BQ5J48,6126944,CNE000000XB6,,12.170000,16378590.000000,8514.247785,18,1811,181111,18111110,Common Stock,,,
600172 CG Equity,600172,Shanghai,CNY,BBG000BBJJV6,6132510,CNE000000XT8,,4.470000,13490460.000000,6599.141402,17,1710,171012,17101211,Common Stock,,,
600173 CG Equity,600173,Shanghai,CNY,BBG000BCKBQ5,6148692,CNE000000YR0,,4.450000,2471255.000000,3238.253697,14,1415,141510,,Common Stock,,,
600175 CG Equity,600175,Shanghai,CNY,BBG000BS7XT4,6148896,CNE000000YT6,,,0.000000,,13,1310,131011,,Common Stock,,,
600176 CG Equity,600176,Shanghai,CNY,BBG000BFJ654,6146845,CNE000000YM1,,11.360000,50926450.000000,39786.205805,17,1710,171012,17101211,Common Stock,,,
600177 CG Equity,600177,Shanghai,CNY,BBG000C3CFZ4,6131012,CNE000000XR2,,7.360000,5363739.000000,26359.452518,14,1415,141510,14151014,Common Stock,,,
600178 CG Equity,600178,Shanghai,CNY,BBG000CCF8T4,6128519,CNE000000XJ9,,5.020000,2186992.000000,2319.641600,11,1111,111111,11111119,Common Stock,,,
600179 CG Equity,600179,Shanghai,CNY,BBG000CG70S2,6129095,CNE000000XN1,,10.180000,4930485.000000,15137.455535,16,1617,161715,,Common Stock,,,
600180 CG Equity,600180,Shanghai,CNY,BBG000BRWHM0,6119353,CNE000000WT0,,9.540000,1878900.000000,9697.195007,11,1114,111416,,Common Stock,,,
600182 CG Equity,600182,Shanghai,CNY,BBG000BJRFW7,6151430,CNE000000Z10,,24.490000,1181287.000000,8326.600000,11,1111,111111,11111124,Common Stock,,,
