PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
1746 HK Equity,1746,Hong Kong,HKD,BBG00L9J8JC9,BG5KMT9,KYG579691000,,0.280000,,280.000000,16,1615,161511,16151112,Common Stock,4000,,
1749 HK Equity,1749,Hong Kong,HKD,BBG00L4JMBB6,BFFKH75,CNE1000031D9,,2.530000,2395300.000000,84.502000,11,1110,111010,11101010,Common Stock,1000,,
174 HK Equity,174,Hong Kong,HKD,BBG000BBD962,6486875,HK0174000890,,1.100000,125600.000000,496.529000,14,1415,141510,14151014,Common Stock,2000,,
1750 HK Equity,1750,Hong Kong,HKD,BBG00KSPYS28,BDFGD71,KYG749541010,,0.305000,5445500.000000,549.000000,16,1611,161114,,Common Stock,10000,,
1751 HK Equity,1751,Hong Kong,HKD,BBG00FFG9B73,BYQMS69,KYG819761050,,0.480000,735965.600000,322.560000,16,1615,161510,,Common Stock,10000,,
1752 HK Equity,1752,Hong Kong,HKD,BBG00KSQ97P5,BDFGD04,AU0000007296,,0.540000,9971701.000000,1397.815920,11,1115,111511,11151111,Common Stock,10000,,
1757 HK Equity,1757,Hong Kong,HKD,BBG00L03MY89,BFYF6H4,KYG013071009,,0.430000,16222000.000000,516.000000,16,1615,161511,,Common Stock,10000,,
175 HK Equity,175,Hong Kong,HKD,BBG000BZ3PX4,6531827,KYG3777B1032,,19.040000,47172340.000000,170942.653482,11,1111,111110,11111010,Common Stock,1000,,
1760 HK Equity,1760,Hong Kong,HKD,BBG00L9JM418,BG5KQJ7,KYG4914A1076,,3.540000,,3540.000000,11,1111,111111,,Common Stock,1000,,
1763 HK Equity,1763,Hong Kong,HKD,BBG00L8R66H7,BDFWXC4,CNE1000031F4,,19.400000,,1551.392780,17,1710,171012,,Common Stock,200,,
1766 HK Equity,1766,Hong Kong,HKD,BBG000BGGR86,B2R2ZC9,CNE100000BG0,,6.450000,23815100.000000,28193.375958,16,1614,161411,16141113,Common Stock,1000,,
176 HK Equity,176,Hong Kong,HKD,BBG000BBZNH5,BF5SK25,BMG8587Y1021,,0.340000,526100.000000,691.074271,18,1810,181011,,Common Stock,2000,,
